ISO,Year,Indicator,Description,Source,URL,From,Imputed,Value,Country
AGO,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0,Angola
AGO,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0206664188314538,Angola
AGO,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0206664188314538,Angola
AGO,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0206664188314538,Angola
AGO,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.0206664188314538,Angola
AGO,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.0206664188314538,Angola
AGO,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.0206664188314538,Angola
ALB,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.008692682945751855,Albania
ALB,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0048890514169879174,Albania
ALB,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.003649024613057025,Albania
ALB,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.002174236206552639,Albania
ALB,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.007487477668312931,Albania
ALB,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.01543780950512577,Albania
ALB,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0066864203809538034,Albania
ALB,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0076796806370442875,Albania
ALB,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.005664040260358774,Albania
ALB,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.014395791630510385,Albania
ALB,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0063642489420930705,Albania
ALB,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.007358394184330525,Albania
ALB,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.008001679985542234,Albania
ALB,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.00754713491199537,Albania
ALB,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.005215985338622072,Albania
ALB,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.018415201727748045,Albania
ALB,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.011122990342982359,Albania
ALB,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.01828298810168083,Albania
ALB,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.01828298810168083,Albania
ALB,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.01828298810168083,Albania
ALB,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.01828298810168083,Albania
ARE,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06653347382921161,United Arab Emirates
ARE,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07768016328270219,United Arab Emirates
ARE,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08132705866053372,United Arab Emirates
ARE,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08130149322677653,United Arab Emirates
ARE,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07577491901871801,United Arab Emirates
ARE,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08041192974520807,United Arab Emirates
ARE,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.08041192974520807,United Arab Emirates
ARE,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.08041192974520807,United Arab Emirates
ARE,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.08041192974520807,United Arab Emirates
ARG,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.03468110375514942,Argentina
ARG,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.037249975248935085,Argentina
ARG,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.039183976309713715,Argentina
ARG,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.039183976309713715,Argentina
ARG,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.039183976309713715,Argentina
ARG,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.039183976309713715,Argentina
ARM,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.011297639605428927,Armenia
ARM,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0143524822820577,Armenia
ARM,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.01938268028319023,Armenia
ARM,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.067406117841081,Armenia
ARM,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.05881465483387121,Armenia
ARM,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.05192965191034665,Armenia
ARM,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.05442606432116544,Armenia
ARM,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.05442606432116544,Armenia
ARM,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.05442606432116544,Armenia
ARM,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.05442606432116544,Armenia
AUS,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06906981634465202,Australia
AUS,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07058521345232499,Australia
AUS,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06792076822434061,Australia
AUS,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07336047430003698,Australia
AUS,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07336047430003698,Australia
AUS,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07948568536205458,Australia
AUS,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07948568536205458,Australia
AUS,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08367476218451332,Australia
AUS,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0894462656675089,Australia
AUS,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09321158663449602,Australia
AUS,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0958261592109909,Australia
AUS,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06858269021810227,Australia
AUS,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06949702140238669,Australia
AUS,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06981503632637788,Australia
AUS,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07175493135713526,Australia
AUS,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06818189699203286,Australia
AUS,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06704152660047953,Australia
AUS,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.06292205099693067,Australia
AUS,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.06292205099693067,Australia
AUS,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.06292205099693067,Australia
AUS,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.06292205099693067,Australia
AUT,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08257220613051944,Austria
AUT,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08923262285189938,Austria
AUT,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08899271323848881,Austria
AUT,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08981447158413798,Austria
AUT,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09041145646250047,Austria
AUT,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08452104305535472,Austria
AUT,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08581993582711384,Austria
AUT,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.10817906420547437,Austria
AUT,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.11826692879533993,Austria
AUT,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.10226618616155968,Austria
AUT,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09967173255821088,Austria
AUT,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09704424569563888,Austria
AUT,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09881664104748178,Austria
AUT,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09548274268233124,Austria
AUT,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09919818517774767,Austria
AUT,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0949555701701606,Austria
AUT,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09520979258052864,Austria
AUT,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09425907859634944,Austria
AUT,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.09425907859634944,Austria
AUT,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.09425907859634944,Austria
AUT,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.09425907859634944,Austria
AZE,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.1183245983813073,Azerbaijan
AZE,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.11793608714364548,Azerbaijan
AZE,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09792862849700984,Azerbaijan
AZE,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.14022253281881353,Azerbaijan
AZE,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.10576052342861793,Azerbaijan
AZE,2005-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.12530600408034334,Azerbaijan
AZE,2006-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.10048434523700782,Azerbaijan
AZE,2007-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09545711540933158,Azerbaijan
AZE,2008-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.09543969456801528,Azerbaijan
AZE,2009-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.11046417345693467,Azerbaijan
AZE,2010-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.12923876934102455,Azerbaijan
AZE,2011-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.07141561618742287,Azerbaijan
AZE,2012-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.08662308815601356,Azerbaijan
AZE,2013-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.0809984163126814,Azerbaijan
AZE,2014-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.11132560540175654,Azerbaijan
AZE,2015-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.11684933802772528,Azerbaijan
AZE,2016-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.13233310169525322,Azerbaijan
AZE,2017-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.10561275898188127,Azerbaijan
AZE,2018-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.10561275898188127,Azerbaijan
AZE,2019-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.10561275898188127,Azerbaijan
AZE,2020-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,True,0.10561275898188127,Azerbaijan
BDI,2000-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.011366936785237786,Burundi
BDI,2001-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.011366936785237786,Burundi
BDI,2002-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.011366936785237786,Burundi
BDI,2003-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.011366936785237786,Burundi
BDI,2004-01-01,GJ1,Share of green manufacturing employment in total manufacturing employment,Valentin Todorov,Not online,MANUAL,False,0.011366936785237786,Burundi
