ISO,Country,Year,Value,Indicator,From,Description,URL,Source,Region,Continent,Variable Type,Dimension
DZA,Algeria,1999,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2000,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2001,0.0285714285714286,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2002,0.009202453987730059,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2003,0.0188679245283019,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2004,0.0150501672240803,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2005,0.00970873786407767,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2006,0.00970873786407767,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2007,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2008,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2009,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2010,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2011,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2012,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2013,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2014,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2015,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2016,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
DZA,Algeria,2017,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Northern Africa,Africa,Full Indicator,Green Economic Opportunities
ARG,Argentina,1980,0.0124183006535948,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1981,0.012243735763097998,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1982,0.0117967332123412,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1983,0.0102880658436214,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1984,0.008187134502923979,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1985,0.00829875518672199,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1986,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1987,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1988,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1989,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1990,0.007672634271099741,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1991,0.0138248847926267,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1992,0.007309941520467841,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1993,0.0139521640091116,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1994,0.0115633672525439,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1995,0.0178394449950446,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1996,0.0,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1997,0.0176411290322581,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1998,0.00853311661926046,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,1999,0.0156650526915409,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2000,0.00813173409229518,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2001,0.00677531587621315,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2002,0.0101398064218774,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2003,0.009503695881731793,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2004,0.0055185100022993785,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2005,0.00422960725075529,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2006,0.00205573321151211,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2007,0.00118536079419173,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2008,0.00134486071085495,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2009,0.00017244352474564599,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2010,0.00101936799184506,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2011,0.000419815281276238,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2012,0.0062929061784897,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2013,0.014500537056928003,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2014,0.0122467156535293,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2015,0.0108550752237669,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2016,0.0125148986889154,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
ARG,Argentina,2017,0.0123293703214443,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,South America,America,Full Indicator,Green Economic Opportunities
AUS,Australia,1980,0.0142212972597988,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1981,0.0140021415039947,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1982,0.0164063732449913,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1983,0.0137549407114625,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1984,0.0127941512451451,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1985,0.0144069609870908,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1986,0.0140940049902219,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1987,0.0139062808936927,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1988,0.0127779825531392,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1989,0.0127721012883163,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1990,0.0151815181518152,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1991,0.0148078725398313,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1992,0.0170993690091999,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1993,0.0183071384669418,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1994,0.0174818067243973,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1995,0.0159244847960801,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1996,0.0161295096037172,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1997,0.0158276290327239,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1998,0.0136408106219427,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,1999,0.0130254890943454,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2000,0.0111531986531987,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2001,0.0115421609490221,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2002,0.0126107191112446,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2003,0.0124944714727996,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2004,0.011853202644176,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2005,0.0117042534970026,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2006,0.0119770873112307,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2007,0.0126194339282495,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2008,0.0146442458213402,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2009,0.0137345415170684,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
AUS,Australia,2010,0.0149197710425073,GN1,GGGI REFERENCE,Share patent publications in environmental technology to total patents(Percent),https://www3.wipo.int/ipstats/index.htm?tab=patent,WIPO statistics database. Last updated: December 2018,Australia and New Zealand,Oceania,Full Indicator,Green Economic Opportunities
