ISO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country,Continent,UNregion,IncomeLevel,Region
PHL,81.56298110511769,81.56298110511769,81.56298110511769,81.56315307133164,81.56315307133164,81.56315307133164,78.83396180849766,75.51135101795961,72.61434814820507,72.61434814820507,72.61434814820507,Philippines,Asia,South-Eastern Asia,Lower middle income,East Asia & Pacific
PCN,,,,,,,,,,,,Pitcairn,Oceania,Polynesia,,
POL,97.26233274597351,97.26233274597351,97.26233274597351,97.26253822333646,97.26253822333646,97.26253822333646,98.21554039403239,98.87797485788558,99.22730576767052,99.22730576767052,99.22730576767052,Poland,Europe,Eastern Europe,High income,Europe & Central Asia
PRT,93.8419555755084,93.8419555755084,93.8419555755084,93.84215375188393,93.84215375188393,93.84215375188393,94.63104500032078,95.09631338288692,95.54294478205672,95.54294478205672,95.54294478205672,Portugal,Europe,Southern Europe,High income,Europe & Central Asia
PRI,,,,,,,,,,,,Puerto Rico,America,Caribbean,High income,Latin America & Caribbean 
QAT,,,,,,,,,,,,Qatar,Asia,Western Asia,High income,Middle East & North Africa
REU,,,,,,,,,,,,Reunion,Africa,Eastern Africa,,
ROU,91.50366736068997,91.50366736068997,91.50366736068997,91.50386054585782,91.50386054585782,91.50386054585782,92.74466195927648,93.8891873854849,94.68933266443848,94.68933266443848,94.68933266443848,Romania,Europe,Eastern Europe,High income,Europe & Central Asia
RUS,98.94941302565087,98.94941302565087,98.94941302565087,98.94962210418157,98.94962210418157,98.94962210418157,98.94962210418157,98.91882104981953,98.82365659620481,98.82365659620481,98.82365659620481,Russia,Europe,Eastern Europe,Upper middle income,Europe & Central Asia
RWA,,,,,,,,,,,,Rwanda,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
MAF,,,,,,,,,,,,Saint-Martin,America,Caribbean,High income,Latin America & Caribbean 
WSM,,,,94.85547213266898,94.85547213266898,94.85547213266898,94.85547213266898,94.85547213266898,94.71669212677445,94.71669212677445,94.71669212677445,Samoa,Oceania,Polynesia,Upper middle income,East Asia & Pacific
SMR,,,,,,,,,,,,San Marino,Europe,Southern Europe,High income,Europe & Central Asia
STP,,,,,,,,,,,,Sao Tome and Principe,Africa,Middle Africa,Lower middle income,Sub-Saharan Africa 
SAU,,,,,,,,,,,,Saudi Arabia,Asia,Western Asia,High income,Middle East & North Africa
SEN,78.02699433003548,78.02699433003548,78.02699433003548,78.02715874848681,78.02715874848681,78.02715874848681,77.43684806983548,76.84653739118416,74.1011275162722,74.1011275162722,74.1011275162722,Senegal,Africa,Western Africa,Lower middle income,Sub-Saharan Africa 
SRB,97.39214771812992,97.39214771812992,97.39214771812992,97.39235347259023,97.39235347259023,97.39235347259023,97.24776551725368,97.10317756191712,96.88697642727152,96.88697642727152,96.88697642727152,Serbia,Europe,Southern Europe,Upper middle income,Europe & Central Asia
SYC,95.15677655908358,95.15677655908358,95.15677655908358,95.15697754201844,95.15697754201844,95.15697754201844,95.15697754201844,95.15697754201844,95.02633101624413,95.02633101624413,95.02633101624413,Seychelles,Africa,Eastern Africa,High income,Sub-Saharan Africa 
SLE,53.940969180935596,53.940969180935596,53.940969180935596,53.94108218641167,53.94108218641167,53.94108218641167,53.26802771265564,52.588377335313226,50.601291409865574,50.601291409865574,50.601291409865574,Sierra Leone,Africa,Western Africa,Low income,Sub-Saharan Africa 
SGP,98.44876080696488,98.44876080696488,98.44876080696488,98.44896881682527,98.44896881682527,98.44896881682527,98.1894593440716,97.83427901287708,97.82244942339531,97.82244942339531,97.82244942339531,Singapore,Asia,South-Eastern Asia,High income,East Asia & Pacific
SXM,,,,,,,,,,,,Sint Maarten,America,Caribbean,High income,Latin America & Caribbean 
SVK,98.4049949621393,98.4049949621393,98.4049949621393,98.40520287857902,98.40520287857902,98.40520287857902,98.6477687457897,98.69086904238965,98.8256452453695,98.8256452453695,98.8256452453695,Slovakia,Europe,Eastern Europe,High income,Europe & Central Asia
SVN,98.59992165089764,98.59992165089764,98.59992165089764,98.60012998341935,98.60012998341935,98.60012998341935,98.79395272825555,99.04653347659968,99.26586691787942,99.26586691787942,99.26586691787942,Slovenia,Europe,Southern Europe,High income,Europe & Central Asia
SLB,,,,,,,,,,,,Solomon Islands,Oceania,Melanesia,Lower middle income,East Asia & Pacific
SOM,,,,,,,,,,,,Somalia,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
ZAF,72.77388269600743,72.77388269600743,72.77388269600743,72.77403590139654,72.77403590139654,72.77403590139654,72.77403590139654,72.77403590139654,72.0395819306471,72.0395819306471,72.0395819306471,South Africa,Africa,Southern Africa,Upper middle income,Sub-Saharan Africa 
SGS,,,,,,,,,,,,South Georgia and South Sandwich Is.,Antarctica,South America,,
KOR,99.51234798998051,99.51234798998051,99.51234798998051,99.51255827012754,99.51255827012754,99.51255827012754,99.44669000357925,99.42921691036307,99.39587485702053,99.39587485702053,99.39587485702053,South Korea,Asia,Eastern Asia,High income,East Asia & Pacific
SSD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,South Sudan,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
ESP,98.29850765424872,98.29850765424872,98.29850765424872,98.2987153433853,98.2987153433853,98.2987153433853,97.9670291366624,97.83500516740034,97.25896257531828,97.25896257531828,97.25896257531828,Spain,Europe,Southern Europe,High income,Europe & Central Asia
LKA,,,,,,,,,,,,Sri Lanka,Asia,Southern Asia,Lower middle income,South Asia
BLM,,,,,,,,,,,,St. Barths,America,Caribbean,,
SHN,,,,,,,,,,,,St. Helena,Africa,Western Africa,,
KNA,,,,,,,,,,,,St. Kitts and Nevis,America,Caribbean,High income,Latin America & Caribbean 
LCA,93.17604304265895,93.17604304265895,93.17604304265895,93.17623979760671,93.17623979760671,93.17623979760671,93.17623979760671,93.17623979760671,92.9921604292766,92.9921604292766,92.9921604292766,St. Lucia,America,Caribbean,Upper middle income,Latin America & Caribbean 
SPM,,,,,,,,,,,,St. Pierre and Miquelon,America,Northern America,,
VCT,,,,,,,,,,,,St. Vincent and the Grenadines,America,Caribbean,Upper middle income,Latin America & Caribbean 
SDN,79.66617876985185,79.66617876985185,79.66617876985185,79.66634668723457,79.66634668723457,79.66634668723457,78.15278348101255,76.67508928259622,74.56418758153278,74.56418758153278,74.56418758153278,Sudan,Africa,Northern Africa,Low income,Sub-Saharan Africa 
SUR,,,,,,,,,,,,Suriname,America,South America,Upper middle income,Latin America & Caribbean 
SJM,,,,,,,,,,,,Svalbard and Jan Mayen Islands,Europe,Northern Europe,,
SWE,98.8061188389284,98.8061188389284,98.8061188389284,98.8063276115896,98.8063276115896,98.8063276115896,98.46964909251923,98.4333716227942,98.2092572222476,98.2092572222476,98.2092572222476,Sweden,Europe,Northern Europe,High income,Europe & Central Asia
CHE,97.69967350230375,97.69967350230375,97.69967350230375,97.69987991319515,97.69987991319515,97.69987991319515,98.07174667020566,98.77218322077665,98.91570930167936,98.91570930167936,98.91570930167936,Switzerland,Europe,Western Europe,High income,Europe & Central Asia
SYR,,,,,,,,,,,,Syria,Asia,Western Asia,Low income,Middle East & North Africa
TWN,,,,,,,,,,,,Taiwan,Asia,Eastern Asia,High income,East Asia & Pacific
TJK,,,,,,,,,,,,Tajikistan,Asia,Central Asia,Low income,Europe & Central Asia
TZA,,,64.00889861688404,64.00903311292171,64.00903311292171,64.00903311292171,64.00903311292171,64.00903311292171,63.03813238625061,63.03813238625061,63.03813238625061,Tanzania,Africa,Eastern Africa,Lower middle income,Sub-Saharan Africa 
THA,,,,,,,,,,,,Thailand,Asia,South-Eastern Asia,Upper middle income,East Asia & Pacific
TLS,,,,,,,,,,,,Timor-Leste,Asia,South-Eastern Asia,Lower middle income,East Asia & Pacific
TGO,,,,,,,,,,,,Togo,Africa,Western Africa,Low income,Sub-Saharan Africa 
TKL,,,,,,,,,,,,Tokelau,Oceania,Polynesia,,
TON,,,,,,,,,,,,Tonga,Oceania,Polynesia,Upper middle income,East Asia & Pacific
TTO,,,,,,,,,,,,Trinidad and Tobago,America,Caribbean,High income,Latin America & Caribbean 
TUN,86.21642653691892,86.21642653691892,86.21642653691892,86.21660843617386,86.21660843617386,86.21660843617386,86.19376482512932,86.16739633900306,85.79786474064187,85.79786474064187,85.79786474064187,Tunisia,Africa,Northern Africa,Lower middle income,Middle East & North Africa
TUR,,,,,,,,,,,,Turkey,Asia,Western Asia,Upper middle income,Europe & Central Asia
TKM,,,,,,,,,,,,Turkmenistan,Asia,Central Asia,Upper middle income,Europe & Central Asia
TCA,,,,,,,,,,,,Turks and Caicos Islands,America,Caribbean,High income,Latin America & Caribbean 
TUV,,,,,,,,,,,,Tuvalu,Oceania,Polynesia,Upper middle income,East Asia & Pacific
UGA,73.51732718693889,73.51732718693889,73.51732718693889,73.51748197925207,73.51748197925207,73.51748197925207,72.04319163016359,70.48782915419584,68.0394607448536,68.0394607448536,68.0394607448536,Uganda,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
UKR,96.95678875428918,96.95678875428918,96.95678875428918,96.95699357945131,96.95699357945131,96.95699357945131,96.95699357945131,96.99021514889091,97.46520724454608,97.46520724454608,97.46520724454608,Ukraine,Europe,Eastern Europe,Lower middle income,Europe & Central Asia
ARE,,,,,,,,,,,,United Arab Emirates,Asia,Western Asia,High income,Middle East & North Africa
GBR,97.18410489129214,97.18410489129214,97.18410489129214,97.18431020167334,97.18431020167334,97.18431020167334,97.18431020167334,97.41043169457582,97.96025659597916,97.96025659597916,97.96025659597916,United Kingdom,Europe,Northern Europe,High income,Europe & Central Asia
USA,98.38519216543112,98.38519216543112,98.38519216543112,98.38540003960065,98.38540003960065,98.38540003960065,98.53731761715648,98.63848001917954,98.75613574253522,98.75613574253522,98.75613574253522,United States,America,Northern America,High income,North America
UMI,,,,,,,,,,,,United States Minor Outlying Islands,Oceania,Micronesia,,
VIR,,,,,,,,,,,,United States Virgin Islands,America,Caribbean,High income,Latin America & Caribbean 
URY,89.70259619239839,89.70259619239839,89.70259619239839,89.70278553307851,89.70278553307851,89.70278553307851,89.70278553307851,88.74280925331536,90.09701350825286,90.09701350825286,90.09701350825286,Uruguay,America,South America,High income,Latin America & Caribbean 
UZB,97.16543670860469,97.16543670860469,97.16543670860469,97.1656419791376,97.1656419791376,97.1656419791376,96.78931239745285,96.63996661716693,95.69762439989717,95.69762439989717,95.69762439989717,Uzbekistan,Asia,Central Asia,Lower middle income,Europe & Central Asia
VUT,,,,,,,,,,,,Vanuatu,Oceania,Melanesia,Lower middle income,East Asia & Pacific
VAT,,,,,,,,,,,,Vatican,Europe,Southern Europe,,
VEN,,,,,,,,,,,,Venezuela,America,South America,Upper middle income,Latin America & Caribbean 
VNM,,,99.36347150227611,99.36368146463792,99.36368146463792,99.36368146463792,99.36368146463792,99.36368146463792,99.34651596330025,99.34651596330025,99.34651596330025,Vietnam,Asia,South-Eastern Asia,Lower middle income,East Asia & Pacific
WLF,,,,,,,,,,,,Wallis and Futuna Islands,Oceania,Polynesia,,
ESH,,,,,,,,,,,,Western Sahara,Africa,Northern Africa,,
YEM,,,,,,,,,,,,Yemen,Asia,Western Asia,Low income,Middle East & North Africa
ZMB,,,,,,,,,,,,Zambia,Africa,Eastern Africa,Lower middle income,Sub-Saharan Africa 
ZWE,46.3338360176686,46.3338360176686,46.3338360176686,46.33393278529112,46.33393278529112,46.33393278529112,46.33393278529112,45.6801062781825,46.88539169140565,46.88539169140565,46.88539169140565,Zimbabwe,Africa,Eastern Africa,Lower middle income,Sub-Saharan Africa 
